StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent-prolific,prolific_id,country_residence,hiring_experience,recommend-scale,open-form-explain,fit,quit,easy-to-manage,team-player,attention-binary-qs,gender,gender _3_TEXT,age,education,geography,work-experience,employment-status,employment-status _7_TEXT,specific-occupation,specific-occupation_6_TEXT,followup-jobtitle,followup-other,followup-other_1_TEXT,followup-other_2_TEXT,feedback,PROLIFIC_PID,resumes_randomization_DO_male-employee,resumes_randomization_DO_female-founder,resumes_randomization_DO_female-employee,resumes_randomization_DO_male-founder,specific-questions_DO_quit,specific-questions_DO_fit,specific-questions_DO_team-player,specific-questions_DO_easy-to-manage
2021-10-23T00:57:35Z,2021-10-23T00:59:11Z,IP Address,128.12.122.169,100,96,TRUE,2021-10-23T00:59:12Z,R_cGBRwNbcWuQIcj7,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,"had various job experiences, very relevant and useful skills",An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"No, not an ex-founder",Female,NA,24,Master's degree,West,Less than 5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,4
2021-10-23T01:27:53Z,2021-10-23T01:29:11Z,IP Address,128.12.122.169,100,77,TRUE,2021-10-23T01:29:11Z,R_2VjqM5DYNN8MI9J,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,not likely to commit to an organization,An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"Yes, an ex-founder",Female,NA,25,Associate or Bachelor's degree,Northeast,Less than 5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,2,4,1
2021-10-24T17:43:11Z,2021-10-24T17:45:25Z,IP Address,128.12.122.78,100,134,TRUE,2021-10-24T17:45:25Z,R_XLhTMyXuAoorJ4t,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,likely to leave the firm,An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"Yes, an ex-founder",Female,NA,26,Master's degree,Northeast,Less than 5 years,Working,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,2,3
2021-10-24T18:28:20Z,2021-10-24T18:29:05Z,IP Address,128.12.122.78,100,44,TRUE,2021-10-24T18:29:05Z,R_2y8jlDKKal7bE2U,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,Likely to be very innovative,An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"No, not an ex-founder",Female,NA,25,Associate or Bachelor's degree,Midwest,5–10 years,Keeping house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3
2021-10-24T18:29:15Z,2021-10-24T18:30:46Z,IP Address,128.12.122.78,100,90,TRUE,2021-10-24T18:30:46Z,R_12yHHoAvR8YS8L2,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,work hard,An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"No, not an ex-founder",Male,NA,27,PhD degree,South,10–20 years,With a job but not at work,NA,Type name here:,Penn,student,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,3,4
2021-10-24T18:31:35Z,2021-10-24T18:33:52Z,IP Address,128.12.122.78,100,136,TRUE,2021-10-24T18:33:53Z,R_wKV9jT4vE78mkYF,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,committed,An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"No, not an ex-founder",Female,NA,29,PhD degree,Northeast,5–10 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,consulting,NA,NA,NA,NA,NA,NA,1,3,2,1,4
2021-10-24T18:38:48Z,2021-10-24T19:33:47Z,IP Address,128.12.123.131,100,3298,TRUE,2021-10-24T19:33:47Z,R_6yazYzieXDHsVfX,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,NA,Good leadership role + good experience,An extremely bad fit,"Definitely
will not quit","Definitely
not easy",An extremely bad team player,"Yes, an ex-founder",Male,NA,27,Associate or Bachelor's degree,West,NA,Going to school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,4,2
2021-11-14T21:36:09Z,2021-11-14T21:37:20Z,IP Address,171.66.12.105,100,70,TRUE,2021-11-14T21:37:20Z,R_2OOrIkTuXtTLUrw,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,Very probably recommend,has a lot of relevant experience,A moderately good fit,Not very likely,Easy,A moderately good team player,"No, not an ex-founder",Female,NA,24,Master's degree,West,Less than 5 years,Going to school,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3,1,4
2021-11-14T21:38:06Z,2021-11-14T21:39:08Z,IP Address,171.66.12.105,100,61,TRUE,2021-11-14T21:39:08Z,R_0TB4thgw9UBfKrn,NA,NA,NA,NA,37.423004150390625,-122.16389465332033,anonymous,EN,NA,NA,NA,NA,Very probably recommend,is ambitious,A moderately good fit,Not very likely,Not very easy,A slightly bad team player,"Yes, an ex-founder",Male,NA,25,Master's degree,West,Less than 5 years,Going to school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,3
2021-11-19T19:49:30Z,2021-11-19T19:53:53Z,IP Address,108.185.108.185,100,263,TRUE,2021-11-19T19:53:53Z,R_2X73fQPDcDgnxmR,NA,NA,NA,NA,34.10600280761719,-118.36070251464844,anonymous,EN,I consent,6111a2cddb275d1958a3c896,United States,Yes,"Might or
might not recommend","He needs to be specific about his accomplishments in his current position, as it's a large jump from his previous positions.",A slightly good fit,"Might or
might not quit",Neither easy nor difficult,A neither good nor bad team player,"Yes, an ex-founder",Female,NA,64,Associate or Bachelor's degree,West,More than 20 years,Looking for work,NA,NA,NA,NA,NA,NA,NA,NA,6111a2cddb275d1958a3c896,NA,NA,NA,1,2,3,1,4
